KID,Mass,logg,Teff,Amplitude
4953282,0.4166,4.52,3671,4.72
4992056,0.3842,4.27,3583,6.88
4997179,0.3593,4.05,3514,3.65
5000970,0.4029,4.59,3634,4.72
5002836,0.0,-inf,0,1.16
5009036,0.4781,4.55,3833,3.43
5035870,0.528,4.43,3961,4.31
5079348,0.3615,4.11,3520,4.04
5093980,0.4947,4.5,3876,3.04
5110817,0.475,4.68,3825,4.0
5125261,0.4627,4.61,3793,3.03
5125745,0.3882,4.54,3594,5.28
5126248,0.3813,4.2,3575,5.13
5168614,0.4788,4.53,3835,4.5
5180528,0.3834,4.64,3581,2.01
5185509,0.438,4.49,3728,3.27
5252367,0.354,4.01,3499,7.65
5253844,0.3878,4.36,3593,6.28
5255954,0.543,4.57,3999,2.3
5256645,0.5307,4.57,3968,3.19
5262820,0.5284,4.54,3962,2.24
5263823,0.4881,4.51,3859,6.45
5268696,0.4147,4.47,3666,3.36
5273487,0.4986,4.39,3886,2.93
5287939,0.369,4.46,3541,21.62
5297821,0.4858,4.43,3853,6.19
5298911,0.4158,4.55,3669,5.19
5340107,0.4792,4.53,3836,3.11
5341573,0.4885,4.39,3860,3.32
5344350,0.4361,4.62,3723,4.22
5350780,0.4036,4.38,3636,6.32
5384707,0.5339,4.46,3976,6.25
5439836,0.4346,4.47,3719,6.7
5446961,0.4781,4.43,3833,12.08
5461759,0.5335,4.55,3975,5.82
5480340,0.5084,4.62,3911,21.08
5513833,0.3608,4.06,3518,4.69
5514976,0.3878,4.23,3593,3.68
5522034,0.3831,4.34,3580,5.06
5534656,0.543,4.43,3999,7.77
5537064,0.5119,4.57,3920,4.41
5547013,0.4444,4.57,3745,4.18
5600992,0.4947,4.61,3876,3.74
5610323,0.485,4.5,3851,4.22
5612776,0.4661,4.69,3802,3.5
5616494,0.4932,4.58,3872,4.54
5645052,0.3654,4.21,3531,7.61
5684887,0.5072,4.38,3908,12.59
5693298,0.5331,4.62,3974,3.54
5695904,0.4365,4.41,3724,2.38
5696918,0.5197,4.44,3940,3.28
5697553,0.5131,4.64,3923,5.71
5717253,0.4939,4.5,3874,3.31
5734009,0.528,4.48,3961,1.75
5738209,0.5256,4.44,3955,4.81
5774607,0.4218,4.3,3685,7.43
5783802,0.4327,4.43,3714,3.36
5785806,0.5138,4.61,3925,20.84
5809954,0.4723,4.5,3818,3.22
5879661,0.4819,4.58,3843,4.34
5897952,0.5209,4.73,3943,1.33
5940100,0.4032,4.24,3635,6.44
5952378,0.5304,4.59,3967,3.47
5953138,0.411,4.38,3656,3.89
5987757,0.492,4.61,3869,3.66
6019999,0.4301,4.49,3707,7.7
6026814,0.411,4.64,3656,4.52
6047929,0.4395,4.66,3732,4.02
6048655,0.4765,4.51,3829,2.52
6103862,0.5088,4.61,3912,4.8
6104110,0.4084,4.55,3649,2.32
6105994,0.4357,4.5,3722,6.15
6107421,0.4734,4.63,3821,7.5
6117602,0.0,-inf,0,26.54
6123830,0.5375,4.55,3985,2.45
6124132,0.3726,4.54,3551,6.31
6124963,0.5064,4.57,3906,5.16
6125059,0.5072,4.61,3908,2.55
6141125,0.5414,4.86,3995,4.88
6147617,0.4777,4.73,3832,3.02
6149553,0.4143,4.47,3665,4.25
6181143,0.359,4.04,3513,3.73
6181204,0.3593,4.16,3514,3.77
6181761,0.3977,4.33,3620,4.93
6187322,0.541,4.63,3994,8.35
6196918,0.397,4.62,3618,6.57
6200401,0.4147,4.51,3666,5.67
6205405,0.4897,4.89,3863,1.48
6211203,0.4796,4.64,3837,3.66
6268982,0.5138,4.67,3925,3.25
6271120,0.5229,4.53,3948,2.23
6277656,0.4819,4.46,3843,2.75
6279639,0.5056,4.5,3904,2.65
6301976,0.4951,4.55,3877,4.08
6306891,0.4406,4.4,3735,9.23
6310092,0.4387,4.54,3730,5.21
6345207,0.5288,4.56,3963,4.4
6352901,0.4054,4.33,3641,4.28
6366377,0.3827,4.47,3579,3.18
6389733,0.4121,4.24,3659,4.56
6421689,0.4707,4.63,3814,4.83
6429680,0.4939,4.63,3874,3.73
6442045,0.4181,4.49,3675,4.3
6447455,0.4007,4.62,3628,4.8
6451717,0.4986,4.46,3886,2.75
6467339,0.5154,4.46,3929,3.88
6470362,0.3633,4.15,3525,7.18
6471285,0.2542,0.07,3201,6.48
6501347,0.5343,4.42,3977,1.33
6504035,0.5131,4.5,3923,3.69
6507276,0.4054,4.3,3641,3.56
6521399,0.4881,4.78,3859,4.5
6529445,0.5072,4.42,3908,2.99
6529799,0.2538,4.63,3200,0.75
6547418,0.5233,4.56,3949,3.54
6585895,0.4893,4.34,3862,2.7
6590263,0.4406,4.6,3735,4.54
6664748,0.4158,4.51,3669,3.1
6669028,0.5272,4.52,3959,3.19
6670624,0.5276,4.67,3960,4.33
6671727,0.4688,4.76,3809,4.59
6691349,0.4784,4.55,3834,3.52
6693042,0.3579,4.05,3510,4.88
6696674,0.4746,4.56,3824,3.0
6699367,0.4173,4.55,3673,2.68
6750866,0.5315,4.59,3970,4.24
6751156,0.4199,4.24,3680,8.8
6751411,0.5072,4.49,3908,1.92
6751520,0.528,4.61,3961,4.44
6751891,0.4289,4.41,3704,5.18
6752578,0.417,4.27,3672,22.52
6758989,0.5052,4.57,3903,3.09
6768217,0.4387,4.53,3730,3.95
6782009,0.5213,4.69,3944,3.48
6803306,0.4376,4.38,3727,3.9
6836884,0.5002,4.37,3890,2.8
6838113,0.5347,4.55,3978,3.67
6862296,0.5037,4.39,3899,6.51
6922010,0.4715,4.64,3816,9.68
6928206,0.4777,4.33,3832,4.38
6937828,0.5284,4.52,3962,2.78
6938077,0.5048,4.41,3902,3.83
6947858,0.4301,4.46,3707,5.04
7007761,0.543,4.5,3999,2.15
7009163,0.5225,4.62,3947,4.63
7014297,0.5135,4.47,3924,3.53
7019844,0.5119,4.55,3920,7.55
7021681,0.539,4.48,3989,5.77
7026202,0.3776,4.17,3565,3.38
7032946,0.543,4.46,3999,5.88
7033670,0.0,-inf,0,4.99
7092051,0.4897,4.54,3863,4.07
7116767,0.4812,4.39,3841,39.63
7117688,0.5363,4.51,3982,3.35
7205520,0.4136,4.6,3663,6.21
7215965,0.4742,4.59,3823,3.4
7254671,0.4727,4.48,3819,9.7
7254750,0.5146,4.5,3927,4.47
7259477,0.4758,4.6,3827,3.62
7269798,0.4211,4.63,3683,4.14
7270844,0.5103,4.72,3916,3.26
7272373,0.4391,4.69,3731,2.85
7272575,0.5186,4.48,3937,3.21
7282613,0.4723,4.7,3818,7.6
7287850,0.5252,4.43,3954,3.14
7300506,0.4263,4.54,3697,2.47
7336414,0.5115,4.39,3919,5.64
7337334,0.4387,4.64,3730,4.62
7337588,0.4092,4.36,3651,4.33
7345195,0.5138,4.67,3925,3.81
7349014,0.5154,4.53,3929,5.02
7352892,0.3693,4.14,3542,8.91
7367064,0.5088,4.6,3912,4.23
7377223,0.4158,4.49,3669,1.63
7377872,0.3708,4.26,3546,10.15
7385913,0.4058,4.64,3642,18.5
7422680,0.5021,4.57,3895,0.76
7426706,0.5434,4.52,4000,10.18
7430997,0.4248,4.37,3693,4.68
7438997,0.4877,4.63,3858,3.84
7460575,0.541,4.46,3994,3.59
7512128,0.5111,4.58,3918,3.72
7523710,0.4207,4.32,3682,2.21
7548531,0.4754,4.65,3826,3.55
7549171,0.5304,4.58,3967,4.08
7582511,0.5033,4.52,3898,2.59
7583798,0.411,4.39,3656,3.7
7609819,0.3665,4.22,3534,4.52
7630772,0.3654,4.15,3531,4.45
7659417,0.4361,4.47,3723,4.19
7664406,0.4353,4.45,3721,4.06
7678417,0.36,4.01,3516,7.6
7680819,0.5076,4.48,3909,6.73
7708454,0.4338,4.47,3717,8.37
7731334,0.4827,4.6,3845,5.17
7734775,0.3676,4.12,3537,8.48
7811438,0.4286,4.64,3703,4.39
7820535,0.0,-inf,0,3.37
7830019,0.5064,4.55,3906,10.28
7830098,0.5111,4.49,3918,2.01
7836762,0.543,4.47,3999,1.24
7868967,0.5375,4.66,3985,3.71
7872997,0.5111,4.68,3918,4.5
7880206,0.5229,4.55,3948,5.53
7881278,0.4877,4.34,3858,7.06
7891030,0.5052,4.42,3903,5.47
7907712,0.5029,4.55,3897,3.9
7916294,0.5091,4.41,3913,4.48
7937153,0.4769,4.72,3830,6.85
7976273,0.4711,4.46,3815,1.96
7976805,0.4199,4.51,3680,8.41
7988823,0.4402,4.57,3734,7.25
8004876,0.3704,4.19,3545,3.23
8005405,0.4129,4.36,3661,13.08
8013221,0.4062,4.6,3643,0.85
8018340,0.5244,4.45,3952,3.75
8022889,0.4804,4.39,3839,2.97
8025611,0.414,4.38,3664,6.11
8052511,0.4531,4.52,3768,5.98
8074803,0.4417,4.34,3738,6.49
8078638,0.5025,4.5,3896,3.1
8085076,0.506,4.75,3905,3.2
8086878,0.4788,4.51,3835,5.72
8112537,0.3583,4.02,3511,8.06
8114225,0.4692,4.31,3810,6.96
8167223,0.4158,4.55,3669,4.58
8172915,0.5296,4.43,3965,5.03
8180253,0.5363,4.48,3982,4.31
8191015,0.5315,4.81,3970,4.31
8191181,0.4858,4.65,3853,4.13
8191404,0.4192,4.53,3678,6.22
8217154,0.5048,4.48,3902,2.22
